Web Search interest: smite youtube
Worldwide Sep-Oct 2015

Interest over time
Day,smite youtube
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,82
2015-09-05,76
2015-09-06,76
2015-09-07,76
2015-09-08,0
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,0
2015-09-13,0
2015-09-14,0
2015-09-15,88
2015-09-16,86
2015-09-17,86
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,74
2015-09-25,78
2015-09-26,81
2015-09-27,85
2015-09-28,73
2015-09-29,73
2015-09-30,73
2015-10-01,100
2015-10-02,98
2015-10-03,98
2015-10-04,98
2015-10-05,75
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,0
2015-10-11,0
2015-10-12,89
2015-10-13,70
2015-10-14,77
2015-10-15,83
2015-10-16,90
2015-10-17,97
2015-10-18,76
2015-10-19,76
2015-10-20,76
2015-10-21,76
2015-10-22,76
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0









