Web Search interest: infinite crisis
Worldwide Jul-Aug 2015

Interest over time
Day,infinite crisis
2015-07-01,0
2015-07-02,63
2015-07-03,65
2015-07-04,68
2015-07-05,63
2015-07-06,66
2015-07-07,70
2015-07-08,71
2015-07-09,73
2015-07-10,75
2015-07-11,82
2015-07-12,100
2015-07-13,55
2015-07-14,71
2015-07-15,70
2015-07-16,64
2015-07-17,64
2015-07-18,95
2015-07-19,84
2015-07-20,58
2015-07-21,66
2015-07-22,71
2015-07-23,67
2015-07-24,67
2015-07-25,77
2015-07-26,88
2015-07-27,62
2015-07-28,79
2015-07-29,51
2015-07-30,59
2015-07-31,65
2015-08-01,71
2015-08-02,61
2015-08-03,61
2015-08-04,91
2015-08-05,76
2015-08-06,76
2015-08-07,66
2015-08-08,66
2015-08-09,66
2015-08-10,59
2015-08-11,59
2015-08-12,67
2015-08-13,52
2015-08-14,59
2015-08-15,70
2015-08-16,69
2015-08-17,61
2015-08-18,53
2015-08-19,62
2015-08-20,59
2015-08-21,60
2015-08-22,62
2015-08-23,63
2015-08-24,63
2015-08-25,63
2015-08-26,63
2015-08-27,61
2015-08-28,61
2015-08-29,61
2015-08-30,0
2015-08-31,0



Top searches for infinite crisis
dc infinite crisis,100



Rising searches for infinite crisis
dc infinite crisis,+50%



