Web Search interest: infinite crisis
Worldwide Jan-Feb 2015

Interest over time
Day,infinite crisis
2015-01-01,82
2015-01-02,73
2015-01-03,96
2015-01-04,85
2015-01-05,63
2015-01-06,76
2015-01-07,80
2015-01-08,86
2015-01-09,95
2015-01-10,82
2015-01-11,78
2015-01-12,76
2015-01-13,72
2015-01-14,85
2015-01-15,66
2015-01-16,66
2015-01-17,73
2015-01-18,100
2015-01-19,61
2015-01-20,69
2015-01-21,71
2015-01-22,63
2015-01-23,64
2015-01-24,77
2015-01-25,72
2015-01-26,53
2015-01-27,57
2015-01-28,53
2015-01-29,50
2015-01-30,52
2015-01-31,62
2015-02-01,66
2015-02-02,53
2015-02-03,59
2015-02-04,54
2015-02-05,56
2015-02-06,58
2015-02-07,59
2015-02-08,69
2015-02-09,64
2015-02-10,59
2015-02-11,70
2015-02-12,50
2015-02-13,60
2015-02-14,85
2015-02-15,78
2015-02-16,61
2015-02-17,56
2015-02-18,57
2015-02-19,64
2015-02-20,64
2015-02-21,78
2015-02-22,89
2015-02-23,59
2015-02-24,55
2015-02-25,57
2015-02-26,44
2015-02-27,49
2015-02-28,53



Top searches for infinite crisis
dc infinite crisis,100






