Web Search interest: infinite crisis
Worldwide Sep-Oct 2015

Interest over time
Week,infinite crisis
2015-09-06 - 2015-09-12,100
2015-09-13 - 2015-09-19,86
2015-09-20 - 2015-09-26,73
2015-09-27 - 2015-10-03,83
2015-10-04 - 2015-10-10,82
2015-10-11 - 2015-10-17,95
2015-10-18 - 2015-10-24,76
2015-10-25 - 2015-10-31,79









