Web Search interest: infinite crisis
Worldwide Jul-Aug 2015

Interest over time
Day,infinite crisis
2015-07-01,66
2015-07-02,85
2015-07-03,79
2015-07-04,79
2015-07-05,74
2015-07-06,78
2015-07-07,83
2015-07-08,60
2015-07-09,63
2015-07-10,67
2015-07-11,78
2015-07-12,84
2015-07-13,100
2015-07-14,78
2015-07-15,91
2015-07-16,73
2015-07-17,73
2015-07-18,99
2015-07-19,99
2015-07-20,82
2015-07-21,82
2015-07-22,89
2015-07-23,95
2015-07-24,81
2015-07-25,81
2015-07-26,94
2015-07-27,59
2015-07-28,93
2015-07-29,77
2015-07-30,68
2015-07-31,72
2015-08-01,76
2015-08-02,78
2015-08-03,80
2015-08-04,63
2015-08-05,69
2015-08-06,74
2015-08-07,76
2015-08-08,79
2015-08-09,81
2015-08-10,62
2015-08-11,55
2015-08-12,55
2015-08-13,65
2015-08-14,98
2015-08-15,81
2015-08-16,75
2015-08-17,67
2015-08-18,59
2015-08-19,59
2015-08-20,66
2015-08-21,65
2015-08-22,65
2015-08-23,65
2015-08-24,54
2015-08-25,54
2015-08-26,54
2015-08-27,63
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0









