Web Search interest: infinite crisis
Worldwide Sep-Oct 2015

Interest over time
Day,infinite crisis
2015-09-01,0
2015-09-02,0
2015-09-03,74
2015-09-04,77
2015-09-05,94
2015-09-06,100
2015-09-07,78
2015-09-08,78
2015-09-09,77
2015-09-10,77
2015-09-11,77
2015-09-12,78
2015-09-13,0
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,80
2015-09-20,70
2015-09-21,70
2015-09-22,70
2015-09-23,70
2015-09-24,70
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,75
2015-10-03,0
2015-10-04,0
2015-10-05,0
2015-10-06,0
2015-10-07,0
2015-10-08,0
2015-10-09,0
2015-10-10,78
2015-10-11,71
2015-10-12,71
2015-10-13,71
2015-10-14,71
2015-10-15,77
2015-10-16,77
2015-10-17,78
2015-10-18,82
2015-10-19,0
2015-10-20,0
2015-10-21,0
2015-10-22,0
2015-10-23,0
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,65
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0



Top searches for infinite crisis
dc infinite crisis,100






