Web Search interest: infinite crisis
Worldwide Nov-Dec 2015

Interest over time
Week,infinite crisis
2015-11-01 - 2015-11-07,96
2015-11-08 - 2015-11-14,96
2015-11-15 - 2015-11-21,82
2015-11-22 - 2015-11-28,86
2015-11-29 - 2015-12-05,82
2015-12-06 - 2015-12-12,91
2015-12-13 - 2015-12-19,87
2015-12-20 - 2015-12-26,100









