Web Search interest: infinite crisis
Worldwide Nov-Dec 2015

Interest over time
Week,infinite crisis
2015-11-01 - 2015-11-07,93
2015-11-08 - 2015-11-14,85
2015-11-15 - 2015-11-21,81
2015-11-22 - 2015-11-28,86
2015-11-29 - 2015-12-05,91
2015-12-06 - 2015-12-12,100
2015-12-13 - 2015-12-19,99
2015-12-20 - 2015-12-26,88









