Web Search interest: heroes of the storm tier list
Worldwide Jan-Feb 2015

Interest over time
Week,heroes of the storm tier list
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,96
2015-02-01 - 2015-02-07,77
2015-02-08 - 2015-02-14,86
2015-02-15 - 2015-02-21,100
2015-02-22 - 2015-02-28,88









