Web Search interest: heroes of the storm tier list
Worldwide Sep-Oct 2015

Interest over time
Day,heroes of the storm tier list
2015-09-01,55
2015-09-02,63
2015-09-03,70
2015-09-04,79
2015-09-05,88
2015-09-06,59
2015-09-07,59
2015-09-08,100
2015-09-09,85
2015-09-10,66
2015-09-11,84
2015-09-12,79
2015-09-13,79
2015-09-14,89
2015-09-15,55
2015-09-16,55
2015-09-17,55
2015-09-18,56
2015-09-19,56
2015-09-20,56
2015-09-21,57
2015-09-22,59
2015-09-23,76
2015-09-24,57
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,54
2015-10-01,63
2015-10-02,71
2015-10-03,80
2015-10-04,88
2015-10-05,58
2015-10-06,58
2015-10-07,63
2015-10-08,55
2015-10-09,67
2015-10-10,79
2015-10-11,64
2015-10-12,58
2015-10-13,58
2015-10-14,54
2015-10-15,81
2015-10-16,68
2015-10-17,68
2015-10-18,68
2015-10-19,81
2015-10-20,55
2015-10-21,55
2015-10-22,55
2015-10-23,59
2015-10-24,63
2015-10-25,67
2015-10-26,55
2015-10-27,61
2015-10-28,0
2015-10-29,0
2015-10-30,0
2015-10-31,0









