Web Search interest: heroes of the storm tier list
Worldwide Jul-Aug 2015

Interest over time
Day,heroes of the storm tier list
2015-07-01,65
2015-07-02,51
2015-07-03,63
2015-07-04,100
2015-07-05,77
2015-07-06,73
2015-07-07,57
2015-07-08,58
2015-07-09,52
2015-07-10,49
2015-07-11,64
2015-07-12,62
2015-07-13,55
2015-07-14,50
2015-07-15,47
2015-07-16,45
2015-07-17,54
2015-07-18,52
2015-07-19,52
2015-07-20,53
2015-07-21,49
2015-07-22,54
2015-07-23,59
2015-07-24,43
2015-07-25,59
2015-07-26,67
2015-07-27,40
2015-07-28,53
2015-07-29,51
2015-07-30,38
2015-07-31,58
2015-08-01,56
2015-08-02,63
2015-08-03,53
2015-08-04,53
2015-08-05,58
2015-08-06,57
2015-08-07,49
2015-08-08,60
2015-08-09,73
2015-08-10,53
2015-08-11,44
2015-08-12,54
2015-08-13,47
2015-08-14,40
2015-08-15,49
2015-08-16,52
2015-08-17,51
2015-08-18,50
2015-08-19,56
2015-08-20,58
2015-08-21,60
2015-08-22,71
2015-08-23,62
2015-08-24,42
2015-08-25,62
2015-08-26,38
2015-08-27,49
2015-08-28,60
2015-08-29,55
2015-08-30,0
2015-08-31,0









