Web Search interest: hots guide
Worldwide Sep-Oct 2015

Interest over time
Week,hots guide
2015-09-06 - 2015-09-12,100
2015-09-13 - 2015-09-19,92
2015-09-20 - 2015-09-26,95
2015-09-27 - 2015-10-03,94
2015-10-04 - 2015-10-10,76
2015-10-11 - 2015-10-17,80
2015-10-18 - 2015-10-24,91
2015-10-25 - 2015-10-31,77









