Web Search interest: hots guide
Worldwide Jan-Feb 2015

Interest over time
Week,hots guide
2015-01-04 - 2015-01-10,64
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,70
2015-01-25 - 2015-01-31,99
2015-02-01 - 2015-02-07,88
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,90
2015-02-22 - 2015-02-28,95









