Web Search interest: magicka spells
Worldwide May-Jun 2014

Interest over time
Week,magicka spells
2014-05-04 - 2014-05-10,49
2014-05-11 - 2014-05-17,54
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,100
2014-06-01 - 2014-06-07,92
2014-06-08 - 2014-06-14,80
2014-06-15 - 2014-06-21,58
2014-06-22 - 2014-06-28,94
2014-06-29 - 2014-07-05,71









