Web Search interest: magicka spells
Worldwide Jul-Aug 2013

Interest over time
Week,magicka spells
2013-07-07 - 2013-07-13,59
2013-07-14 - 2013-07-20,100
2013-07-21 - 2013-07-27,88
2013-07-28 - 2013-08-03,69
2013-08-04 - 2013-08-10,63
2013-08-11 - 2013-08-17,71
2013-08-18 - 2013-08-24,53
2013-08-25 - 2013-08-31,53









