Web Search interest: magicka spells
Worldwide Mar-Apr 2011

Interest over time
Week,magicka spells
2011-03-06 - 2011-03-12,76
2011-03-13 - 2011-03-19,63
2011-03-20 - 2011-03-26,60
2011-03-27 - 2011-04-02,56
2011-04-03 - 2011-04-09,39
2011-04-10 - 2011-04-16,100
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,60









