Web Search interest: magicka spells
Worldwide May-Jun 2015

Interest over time
Week,magicka spells
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,41
2015-05-17 - 2015-05-23,29
2015-05-24 - 2015-05-30,100
2015-05-31 - 2015-06-06,71
2015-06-07 - 2015-06-13,54
2015-06-14 - 2015-06-20,41
2015-06-21 - 2015-06-27,39
2015-06-28 - 2015-07-04,0



Top searches for magicka spells
magicka 2 spells,100
magicka 2,100



Rising searches for magicka spells
magicka 2,Breakout
magicka 2 spells,Breakout



