Web Search interest: magicka spells
Worldwide Jul-Aug 2011

Interest over time
Week,magicka spells
2011-07-03 - 2011-07-09,100
2011-07-10 - 2011-07-16,83
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,44
2011-07-31 - 2011-08-06,40
2011-08-07 - 2011-08-13,35
2011-08-14 - 2011-08-20,35
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,0









