Web Search interest: magicka spells
Worldwide Nov-Dec 2015

Interest over time
Week,magicka spells
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,82
2015-11-15 - 2015-11-21,46
2015-11-22 - 2015-11-28,36
2015-11-29 - 2015-12-05,40
2015-12-06 - 2015-12-12,0
2015-12-13 - 2015-12-19,0
2015-12-20 - 2015-12-26,0



Top searches for magicka spells
magicka 2 spells,100
magicka 2,100



Rising searches for magicka spells
magicka 2 spells,+140%
magicka 2,+120%



