Web Search interest: magicka spells
Worldwide May-Jun 2015

Interest over time
Week,magicka spells
2015-05-03 - 2015-05-09,33
2015-05-10 - 2015-05-16,33
2015-05-17 - 2015-05-23,34
2015-05-24 - 2015-05-30,100
2015-05-31 - 2015-06-06,78
2015-06-07 - 2015-06-13,55
2015-06-14 - 2015-06-20,45
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,38



Top searches for magicka spells
magicka 2 spells,100
magicka 2,90



Rising searches for magicka spells
magicka 2,Breakout
magicka 2 spells,Breakout



