Web Search interest: magicka spells
Worldwide Jan-Feb 2012

Interest over time
Week,magicka spells
2012-01-01 - 2012-01-07,100
2012-01-08 - 2012-01-14,39
2012-01-15 - 2012-01-21,55
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,30
2012-02-05 - 2012-02-11,38
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,0









