Web Search interest: magicka spells
Worldwide May-Jun 2013

Interest over time
Week,magicka spells
2013-05-05 - 2013-05-11,0
2013-05-12 - 2013-05-18,40
2013-05-19 - 2013-05-25,41
2013-05-26 - 2013-06-01,55
2013-06-02 - 2013-06-08,43
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,100
2013-06-30 - 2013-07-06,41









