Web Search interest: natus vincere
Worldwide Jul-Aug 2015

Interest over time
Week,natus vincere
2015-07-05 - 2015-07-11,51
2015-07-12 - 2015-07-18,74
2015-07-19 - 2015-07-25,62
2015-07-26 - 2015-08-01,98
2015-08-02 - 2015-08-08,99
2015-08-09 - 2015-08-15,75
2015-08-16 - 2015-08-22,100
2015-08-23 - 2015-08-29,79
2015-08-30 - 2015-09-05,59









