Web Search interest: natus vincere
Worldwide Jan-Feb 2014

Interest over time
Week,natus vincere
2014-01-05 - 2014-01-11,48
2014-01-12 - 2014-01-18,70
2014-01-19 - 2014-01-25,100
2014-01-26 - 2014-02-01,71
2014-02-02 - 2014-02-08,70
2014-02-09 - 2014-02-15,72
2014-02-16 - 2014-02-22,89
2014-02-23 - 2014-03-01,76









