Web Search interest: smite online
Worldwide Sep-Oct 2015

Interest over time
Week,smite online
2015-09-06 - 2015-09-12,92
2015-09-13 - 2015-09-19,100
2015-09-20 - 2015-09-26,88
2015-09-27 - 2015-10-03,80
2015-10-04 - 2015-10-10,79
2015-10-11 - 2015-10-17,77
2015-10-18 - 2015-10-24,67
2015-10-25 - 2015-10-31,71









