Web Search interest: smite online
Worldwide Jan-Feb 2014

Interest over time
Week,smite online
2014-01-05 - 2014-01-11,97
2014-01-12 - 2014-01-18,85
2014-01-19 - 2014-01-25,76
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,91
2014-02-09 - 2014-02-15,83
2014-02-16 - 2014-02-22,63
2014-02-23 - 2014-03-01,86









