Web Search interest: smite online
Worldwide May-Jun 2014

Interest over time
Week,smite online
2014-05-04 - 2014-05-10,64
2014-05-11 - 2014-05-17,64
2014-05-18 - 2014-05-24,60
2014-05-25 - 2014-05-31,63
2014-06-01 - 2014-06-07,69
2014-06-08 - 2014-06-14,100
2014-06-15 - 2014-06-21,86
2014-06-22 - 2014-06-28,86
2014-06-29 - 2014-07-05,84









