Web Search interest: smite online
Worldwide Mar-Apr 2014

Interest over time
Week,smite online
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,63
2014-03-16 - 2014-03-22,68
2014-03-23 - 2014-03-29,83
2014-03-30 - 2014-04-05,100
2014-04-06 - 2014-04-12,93
2014-04-13 - 2014-04-19,87
2014-04-20 - 2014-04-26,72
2014-04-27 - 2014-05-03,81









