Web Search interest: smite online
Worldwide Nov-Dec 2015

Interest over time
Week,smite online
2015-11-01 - 2015-11-07,94
2015-11-08 - 2015-11-14,87
2015-11-15 - 2015-11-21,78
2015-11-22 - 2015-11-28,92
2015-11-29 - 2015-12-05,81
2015-12-06 - 2015-12-12,85
2015-12-13 - 2015-12-19,100
2015-12-20 - 2015-12-26,90









