Web Search interest: smite online
Worldwide Mar-Apr 2015

Interest over time
Week,smite online
2015-03-01 - 2015-03-07,84
2015-03-08 - 2015-03-14,76
2015-03-15 - 2015-03-21,100
2015-03-22 - 2015-03-28,91
2015-03-29 - 2015-04-04,96
2015-04-05 - 2015-04-11,77
2015-04-12 - 2015-04-18,68
2015-04-19 - 2015-04-25,90
2015-04-26 - 2015-05-02,83









