Web Search interest: infinite crisis
Worldwide Jan-Feb 2015

Interest over time
Day,infinite crisis
2015-01-01,79
2015-01-02,70
2015-01-03,100
2015-01-04,78
2015-01-05,67
2015-01-06,72
2015-01-07,55
2015-01-08,79
2015-01-09,78
2015-01-10,77
2015-01-11,71
2015-01-12,62
2015-01-13,56
2015-01-14,72
2015-01-15,57
2015-01-16,58
2015-01-17,72
2015-01-18,78
2015-01-19,60
2015-01-20,74
2015-01-21,59
2015-01-22,70
2015-01-23,52
2015-01-24,59
2015-01-25,58
2015-01-26,55
2015-01-27,46
2015-01-28,50
2015-01-29,58
2015-01-30,57
2015-01-31,78
2015-02-01,63
2015-02-02,41
2015-02-03,65
2015-02-04,47
2015-02-05,48
2015-02-06,52
2015-02-07,64
2015-02-08,57
2015-02-09,53
2015-02-10,56
2015-02-11,55
2015-02-12,44
2015-02-13,53
2015-02-14,98
2015-02-15,83
2015-02-16,58
2015-02-17,40
2015-02-18,51
2015-02-19,55
2015-02-20,52
2015-02-21,58
2015-02-22,60
2015-02-23,55
2015-02-24,50
2015-02-25,50
2015-02-26,56
2015-02-27,56
2015-02-28,55



Top searches for infinite crisis
dc infinite crisis,100






