Web Search interest: smite guide
Worldwide Nov-Dec 2015

Interest over time
Week,smite guide
2015-11-01 - 2015-11-07,100
2015-11-08 - 2015-11-14,84
2015-11-15 - 2015-11-21,85
2015-11-22 - 2015-11-28,81
2015-11-29 - 2015-12-05,75
2015-12-06 - 2015-12-12,77
2015-12-13 - 2015-12-19,77
2015-12-20 - 2015-12-26,87









