Web Search interest: smite guide
Worldwide May-Jun 2014

Interest over time
Week,smite guide
2014-05-04 - 2014-05-10,96
2014-05-11 - 2014-05-17,77
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,77
2014-06-01 - 2014-06-07,81
2014-06-08 - 2014-06-14,100
2014-06-15 - 2014-06-21,80
2014-06-22 - 2014-06-28,78
2014-06-29 - 2014-07-05,80









