Web Search interest: heroes of the storm patch notes
Worldwide Mar-Apr 2015

Interest over time
Week,heroes of the storm patch notes
2015-03-01 - 2015-03-07,0
2015-03-08 - 2015-03-14,0
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,100
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,0
2015-04-19 - 2015-04-25,0
2015-04-26 - 2015-05-02,0









