Web Search interest: dota2wiki
Worldwide Jan-Feb 2015

Interest over time
Week,dota2wiki
2015-01-04 - 2015-01-10,64
2015-01-11 - 2015-01-17,51
2015-01-18 - 2015-01-24,43
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,69
2015-02-08 - 2015-02-14,100
2015-02-15 - 2015-02-21,68
2015-02-22 - 2015-02-28,84









