Web Search interest: dota2wiki
Worldwide Mar-Apr 2014

Interest over time
Week,dota2wiki
2014-03-02 - 2014-03-08,94
2014-03-09 - 2014-03-15,84
2014-03-16 - 2014-03-22,100
2014-03-23 - 2014-03-29,56
2014-03-30 - 2014-04-05,90
2014-04-06 - 2014-04-12,64
2014-04-13 - 2014-04-19,85
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,99









