Web Search interest: cdec
Worldwide Nov-Dec 2015

Interest over time
Day,cdec
2015-11-01,0
2015-11-02,0
2015-11-03,61
2015-11-04,78
2015-11-05,51
2015-11-06,44
2015-11-07,43
2015-11-08,41
2015-11-09,47
2015-11-10,52
2015-11-11,46
2015-11-12,43
2015-11-13,41
2015-11-14,88
2015-11-15,54
2015-11-16,85
2015-11-17,45
2015-11-18,79
2015-11-19,100
2015-11-20,56
2015-11-21,53
2015-11-22,53
2015-11-23,53
2015-11-24,44
2015-11-25,35
2015-11-26,41
2015-11-27,48
2015-11-28,39
2015-11-29,52
2015-11-30,43
2015-12-01,43
2015-12-02,43
2015-12-03,43
2015-12-04,43
2015-12-05,43
2015-12-06,43
2015-12-07,36
2015-12-08,34
2015-12-09,34
2015-12-10,37
2015-12-11,39
2015-12-12,42
2015-12-13,44
2015-12-14,47
2015-12-15,55
2015-12-16,47
2015-12-17,47
2015-12-18,40
2015-12-19,39
2015-12-20,39
2015-12-21,39
2015-12-22,55
2015-12-23, 
2015-12-24, 



Top searches for cdec
cdec dota 2,100






