Web Search interest: cdec
Worldwide Jan 2014 - Oct 2015

Interest over time
Week,cdec
2014-01-05 - 2014-01-11,6
2014-01-12 - 2014-01-18,5
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,6
2014-02-09 - 2014-02-15,5
2014-02-16 - 2014-02-22,5
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,5
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,7
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,5
2014-06-08 - 2014-06-14,7
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,6
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,5
2014-07-13 - 2014-07-19,6
2014-07-20 - 2014-07-26,5
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,5
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,5
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,6
2014-09-14 - 2014-09-20,6
2014-09-21 - 2014-09-27,6
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,6
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,9
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,6
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,15
2014-12-14 - 2014-12-20,8
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,4
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,5
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,10
2015-02-08 - 2015-02-14,7
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,6
2015-03-01 - 2015-03-07,6
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,5
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,8
2015-04-19 - 2015-04-25,6
2015-04-26 - 2015-05-02,6
2015-05-03 - 2015-05-09,8
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,9
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,29
2015-08-02 - 2015-08-08,100
2015-08-09 - 2015-08-15,60
2015-08-16 - 2015-08-22,9
2015-08-23 - 2015-08-29,8
2015-08-30 - 2015-09-05,5
2015-09-06 - 2015-09-12,8
2015-09-13 - 2015-09-19,9
2015-09-20 - 2015-09-26,7
2015-09-27 - 2015-10-03,8
2015-10-04 - 2015-10-10,8
2015-10-11 - 2015-10-17,12
2015-10-18 - 2015-10-24,12
2015-10-25 - 2015-10-31,12


Top regions for cdec
Region,cdec
Chile,100
Philippines,85
Canada,25
India,10
United States,5


Top cities for cdec
Town/City,cdec
Montréal (Canada),100
Santiago (Chile),67
Quezon City (Philippines),36
Singapore (Singapore),20
New Delhi (India),8
Paris (France),8



Top searches for cdec
dota cdec,100
cdec dota 2,85
eg cdec,40
lgd,25
lgd cdec,25
cdec vs eg,25
cdec sic,20
team cdec,20
cdec gaming,20
ti5,20
cdec dota2,15
cdec sing,15
cdec mohali,10
lgd dota 2,10
cdec joindota,5
evil geniuses,5
cdec vba,5



Rising searches for cdec
cdec dota2,Breakout
cdec gaming,Breakout
cdec vs eg,Breakout
eg cdec,Breakout
lgd,Breakout
lgd cdec,Breakout
lgd dota 2,Breakout
team cdec,Breakout
ti5,Breakout
cdec dota 2,+2,900%



