Web Search interest: cdec
Worldwide Jul-Aug 2014

Interest over time
Week,cdec
2014-07-06 - 2014-07-12,82
2014-07-13 - 2014-07-19,66
2014-07-20 - 2014-07-26,97
2014-07-27 - 2014-08-02,90
2014-08-03 - 2014-08-09,69
2014-08-10 - 2014-08-16,80
2014-08-17 - 2014-08-23,71
2014-08-24 - 2014-08-30,88
2014-08-31 - 2014-09-06,100









