Web Search interest: vici gaming
Worldwide Sep-Oct 2015

Interest over time
Week,vici gaming
2015-09-06 - 2015-09-12,0
2015-09-13 - 2015-09-19,27
2015-09-20 - 2015-09-26,30
2015-09-27 - 2015-10-03,36
2015-10-04 - 2015-10-10,41
2015-10-11 - 2015-10-17,51
2015-10-18 - 2015-10-24,61
2015-10-25 - 2015-10-31,100









