Web Search interest: league of legends worlds schedule 2015
Worldwide Sep-Oct 2015

Interest over time
Week,league of legends worlds schedule 2015
2015-09-06 - 2015-09-12,0
2015-09-13 - 2015-09-19,0
2015-09-20 - 2015-09-26,20
2015-09-27 - 2015-10-03,100
2015-10-04 - 2015-10-10,57
2015-10-11 - 2015-10-17,33
2015-10-18 - 2015-10-24,19
2015-10-25 - 2015-10-31,19









