Web Search interest: smite build
Worldwide Sep-Oct 2014

Interest over time
Day,smite build
2014-09-01,64
2014-09-02,58
2014-09-03,57
2014-09-04,68
2014-09-05,79
2014-09-06,79
2014-09-07,100
2014-09-08,59
2014-09-09,65
2014-09-10,59
2014-09-11,47
2014-09-12,74
2014-09-13,68
2014-09-14,73
2014-09-15,58
2014-09-16,57
2014-09-17,53
2014-09-18,55
2014-09-19,62
2014-09-20,82
2014-09-21,86
2014-09-22,44
2014-09-23,63
2014-09-24,53
2014-09-25,57
2014-09-26,62
2014-09-27,90
2014-09-28,84
2014-09-29,51
2014-09-30,56
2014-10-01,51
2014-10-02,56
2014-10-03,61
2014-10-04,74
2014-10-05,64
2014-10-06,46
2014-10-07,48
2014-10-08,50
2014-10-09,69
2014-10-10,54
2014-10-11,67
2014-10-12,75
2014-10-13,48
2014-10-14,59
2014-10-15,58
2014-10-16,46
2014-10-17,70
2014-10-18,67
2014-10-19,83
2014-10-20,52
2014-10-21,52
2014-10-22,56
2014-10-23,55
2014-10-24,80
2014-10-25,80
2014-10-26,76
2014-10-27,51
2014-10-28,54
2014-10-29,60
2014-10-30,66
2014-10-31,63









