Web Search interest: smite,
Worldwide 2013,
,
Interest over time,
Week,smite
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,42
2013-01-27 - 2013-02-02,47
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,40
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,59
2013-03-17 - 2013-03-23,53
2013-03-24 - 2013-03-30,59
2013-03-31 - 2013-04-06,52
2013-04-07 - 2013-04-13,59
2013-04-14 - 2013-04-20,67
2013-04-21 - 2013-04-27,63
2013-04-28 - 2013-05-04,71
2013-05-05 - 2013-05-11,56
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,59
2013-05-26 - 2013-06-01,59
2013-06-02 - 2013-06-08,62
2013-06-09 - 2013-06-15,64
2013-06-16 - 2013-06-22,67
2013-06-23 - 2013-06-29,79
2013-06-30 - 2013-07-06,64
2013-07-07 - 2013-07-13,67
2013-07-14 - 2013-07-20,65
2013-07-21 - 2013-07-27,72
2013-07-28 - 2013-08-03,68
2013-08-04 - 2013-08-10,82
2013-08-11 - 2013-08-17,78
2013-08-18 - 2013-08-24,76
2013-08-25 - 2013-08-31,80
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,69
2013-09-15 - 2013-09-21,69
2013-09-22 - 2013-09-28,63
2013-09-29 - 2013-10-05,71
2013-10-06 - 2013-10-12,73
2013-10-13 - 2013-10-19,70
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,69
2013-11-03 - 2013-11-09,75
2013-11-10 - 2013-11-16,92
2013-11-17 - 2013-11-23,93
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,80
2013-12-08 - 2013-12-14,78
2013-12-15 - 2013-12-21,89
2013-12-22 - 2013-12-28,93
2013-12-29 - 2014-01-04,100
,
,
Top regions for smite,
Region,smite
Denmark,100
Sweden,93
Norway,80
Serbia,77
Poland,71
Bulgaria,71
Romania,66
Czech Republic,59
Portugal,55
Greece,53
Finland,51
Canada,50
Singapore,49
Hungary,45
United States,36
Belgium,35
Australia,35
Netherlands,34
Philippines,30
Spain,28
Germany,28
Chile,24
United Kingdom,23
Brazil,21
Argentina,21
France,18
Turkey,17
Russia,17
Mexico,8
Italy,8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
