Web Search interest: minecraft smite
Worldwide May-Jun 2014

Interest over time
Week,minecraft smite
2014-05-04 - 2014-05-10,82
2014-05-11 - 2014-05-17,79
2014-05-18 - 2014-05-24,71
2014-05-25 - 2014-05-31,88
2014-06-01 - 2014-06-07,83
2014-06-08 - 2014-06-14,100
2014-06-15 - 2014-06-21,87
2014-06-22 - 2014-06-28,87
2014-06-29 - 2014-07-05,91









