Web Search interest: smite guide
Worldwide Jan-Feb 2014

Interest over time
Week,smite guide
2014-01-05 - 2014-01-11,77
2014-01-12 - 2014-01-18,71
2014-01-19 - 2014-01-25,82
2014-01-26 - 2014-02-01,77
2014-02-02 - 2014-02-08,100
2014-02-09 - 2014-02-15,93
2014-02-16 - 2014-02-22,81
2014-02-23 - 2014-03-01,93









