Web Search interest: smite guide
Worldwide Mar-Apr 2015

Interest over time
Week,smite guide
2015-03-01 - 2015-03-07,82
2015-03-08 - 2015-03-14,85
2015-03-15 - 2015-03-21,72
2015-03-22 - 2015-03-28,97
2015-03-29 - 2015-04-04,78
2015-04-05 - 2015-04-11,75
2015-04-12 - 2015-04-18,87
2015-04-19 - 2015-04-25,86
2015-04-26 - 2015-05-02,100









