Web Search interest: smite game
Worldwide Mar-Apr 2015

Interest over time
Day,smite game
2015-03-01,100
2015-03-02,55
2015-03-03,56
2015-03-04,56
2015-03-05,56
2015-03-06,61
2015-03-07,61
2015-03-08,61
2015-03-09,61
2015-03-10,62
2015-03-11,63
2015-03-12,65
2015-03-13,67
2015-03-14,66
2015-03-15,66
2015-03-16,63
2015-03-17,63
2015-03-18,63
2015-03-19,55
2015-03-20,65
2015-03-21,64
2015-03-22,64
2015-03-23,58
2015-03-24,64
2015-03-25,69
2015-03-26,74
2015-03-27,75
2015-03-28,76
2015-03-29,77
2015-03-30,70
2015-03-31,69
2015-04-01,61
2015-04-02,67
2015-04-03,73
2015-04-04,67
2015-04-05,84
2015-04-06,59
2015-04-07,53
2015-04-08,53
2015-04-09,53
2015-04-10,54
2015-04-11,54
2015-04-12,55
2015-04-13,56
2015-04-14,58
2015-04-15,59
2015-04-16,61
2015-04-17,62
2015-04-18,64
2015-04-19,65
2015-04-20,51
2015-04-21,52
2015-04-22,54
2015-04-23,56
2015-04-24,56
2015-04-25,63
2015-04-26,70
2015-04-27,51
2015-04-28,73
2015-04-29,0
2015-04-30,0









