Web Search interest: smite youtube
Worldwide Jan-Feb 2014

Interest over time
Week,smite youtube
2014-01-05 - 2014-01-11,100
2014-01-12 - 2014-01-18,81
2014-01-19 - 2014-01-25,72
2014-01-26 - 2014-02-01,91
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,85
2014-02-16 - 2014-02-22,73
2014-02-23 - 2014-03-01,86









