Web Search interest: minecraft smite
Worldwide Sep-Oct 2014

Interest over time
Week,minecraft smite
2014-09-07 - 2014-09-13,97
2014-09-14 - 2014-09-20,99
2014-09-21 - 2014-09-27,98
2014-09-28 - 2014-10-04,99
2014-10-05 - 2014-10-11,89
2014-10-12 - 2014-10-18,89
2014-10-19 - 2014-10-25,92
2014-10-26 - 2014-11-01,100









