Web Search interest: smite youtube
Worldwide 2013

Interest over time
Week,smite youtube
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,42
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,43
2013-02-24 - 2013-03-02,45
2013-03-03 - 2013-03-09,47
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,47
2013-03-31 - 2013-04-06,47
2013-04-07 - 2013-04-13,57
2013-04-14 - 2013-04-20,57
2013-04-21 - 2013-04-27,50
2013-04-28 - 2013-05-04,64
2013-05-05 - 2013-05-11,48
2013-05-12 - 2013-05-18,65
2013-05-19 - 2013-05-25,59
2013-05-26 - 2013-06-01,60
2013-06-02 - 2013-06-08,64
2013-06-09 - 2013-06-15,53
2013-06-16 - 2013-06-22,50
2013-06-23 - 2013-06-29,79
2013-06-30 - 2013-07-06,51
2013-07-07 - 2013-07-13,63
2013-07-14 - 2013-07-20,53
2013-07-21 - 2013-07-27,64
2013-07-28 - 2013-08-03,63
2013-08-04 - 2013-08-10,71
2013-08-11 - 2013-08-17,61
2013-08-18 - 2013-08-24,63
2013-08-25 - 2013-08-31,73
2013-09-01 - 2013-09-07,69
2013-09-08 - 2013-09-14,64
2013-09-15 - 2013-09-21,61
2013-09-22 - 2013-09-28,53
2013-09-29 - 2013-10-05,61
2013-10-06 - 2013-10-12,66
2013-10-13 - 2013-10-19,76
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,66
2013-11-03 - 2013-11-09,63
2013-11-10 - 2013-11-16,79
2013-11-17 - 2013-11-23,84
2013-11-24 - 2013-11-30,79
2013-12-01 - 2013-12-07,70
2013-12-08 - 2013-12-14,70
2013-12-15 - 2013-12-21,75
2013-12-22 - 2013-12-28,100
2013-12-29 - 2014-01-04,87



Top searches for smite youtube
smite download,100






