Web Search interest: beta overwatch
Worldwide May-Jun 2015

Interest over time
Week,beta overwatch
2015-05-03 - 2015-05-09,62
2015-05-10 - 2015-05-16,80
2015-05-17 - 2015-05-23,91
2015-05-24 - 2015-05-30,97
2015-05-31 - 2015-06-06,95
2015-06-07 - 2015-06-13,100
2015-06-14 - 2015-06-20,81
2015-06-21 - 2015-06-27,77
2015-06-28 - 2015-07-04,81



Top searches for beta overwatch
overwatch release date,100



Rising searches for beta overwatch
overwatch release date,+40%



