Web Search interest: beta overwatch
Worldwide Jan-Feb 2015

Interest over time
Week,beta overwatch
2015-01-04 - 2015-01-10,84
2015-01-11 - 2015-01-17,100
2015-01-18 - 2015-01-24,76
2015-01-25 - 2015-01-31,63
2015-02-01 - 2015-02-07,81
2015-02-08 - 2015-02-14,67
2015-02-15 - 2015-02-21,78
2015-02-22 - 2015-02-28,61



Top searches for beta overwatch
overwatch beta release,100



Rising searches for beta overwatch
overwatch beta release,+180%
overwatch beta date,+150%



