Web Search interest: hots
Worldwide Jul-Aug 2012

Interest over time
Day,hots
2012-07-01,89
2012-07-02,71
2012-07-03,68
2012-07-04,84
2012-07-05,75
2012-07-06,75
2012-07-07,90
2012-07-08,82
2012-07-09,66
2012-07-10,64
2012-07-11,73
2012-07-12,62
2012-07-13,81
2012-07-14,91
2012-07-15,89
2012-07-16,85
2012-07-17,72
2012-07-18,74
2012-07-19,69
2012-07-20,70
2012-07-21,70
2012-07-22,76
2012-07-23,64
2012-07-24,73
2012-07-25,57
2012-07-26,61
2012-07-27,68
2012-07-28,87
2012-07-29,93
2012-07-30,70
2012-07-31,68
2012-08-01,78
2012-08-02,75
2012-08-03,68
2012-08-04,85
2012-08-05,85
2012-08-06,83
2012-08-07,66
2012-08-08,66
2012-08-09,75
2012-08-10,78
2012-08-11,86
2012-08-12,100
2012-08-13,83
2012-08-14,73
2012-08-15,81
2012-08-16,79
2012-08-17,91
2012-08-18,98
2012-08-19,91
2012-08-20,96
2012-08-21,88
2012-08-22,71
2012-08-23,67
2012-08-24,86
2012-08-25,92
2012-08-26,98
2012-08-27,79
2012-08-28,74
2012-08-29,75
2012-08-30,70
2012-08-31,86


Top regions for hots
Region,hots
India,100
United States,33





Top searches for hots
red hots,100
sc2 hots,35
starcraft hots,30






