Web Search interest: hots
Worldwide May-Jun 2012

Interest over time
Day,hots
2012-05-01,58
2012-05-02,49
2012-05-03,45
2012-05-04,52
2012-05-05,72
2012-05-06,70
2012-05-07,58
2012-05-08,58
2012-05-09,65
2012-05-10,55
2012-05-11,59
2012-05-12,69
2012-05-13,66
2012-05-14,62
2012-05-15,61
2012-05-16,57
2012-05-17,56
2012-05-18,61
2012-05-19,65
2012-05-20,63
2012-05-21,52
2012-05-22,48
2012-05-23,62
2012-05-24,55
2012-05-25,64
2012-05-26,69
2012-05-27,69
2012-05-28,60
2012-05-29,54
2012-05-30,57
2012-05-31,47
2012-06-01,58
2012-06-02,83
2012-06-03,67
2012-06-04,57
2012-06-05,56
2012-06-06,52
2012-06-07,53
2012-06-08,68
2012-06-09,100
2012-06-10,77
2012-06-11,67
2012-06-12,56
2012-06-13,66
2012-06-14,76
2012-06-15,69
2012-06-16,64
2012-06-17,68
2012-06-18,53
2012-06-19,60
2012-06-20,72
2012-06-21,60
2012-06-22,57
2012-06-23,84
2012-06-24,79
2012-06-25,65
2012-06-26,59
2012-06-27,75
2012-06-28,61
2012-06-29,68
2012-06-30,73


Top regions for hots
Region,hots
India,100
United States,30





Top searches for hots
red hots,100
sc2 hots,30






