Web Search interest: hots
Worldwide Sep-Oct 2013

Interest over time
Day,hots
2013-09-01,93
2013-09-02,86
2013-09-03,72
2013-09-04,69
2013-09-05,75
2013-09-06,77
2013-09-07,99
2013-09-08,85
2013-09-09,70
2013-09-10,67
2013-09-11,70
2013-09-12,72
2013-09-13,81
2013-09-14,86
2013-09-15,88
2013-09-16,62
2013-09-17,75
2013-09-18,70
2013-09-19,71
2013-09-20,66
2013-09-21,93
2013-09-22,88
2013-09-23,75
2013-09-24,76
2013-09-25,84
2013-09-26,72
2013-09-27,66
2013-09-28,93
2013-09-29,89
2013-09-30,76
2013-10-01,71
2013-10-02,74
2013-10-03,83
2013-10-04,78
2013-10-05,83
2013-10-06,81
2013-10-07,79
2013-10-08,70
2013-10-09,69
2013-10-10,70
2013-10-11,81
2013-10-12,85
2013-10-13,86
2013-10-14,73
2013-10-15,72
2013-10-16,78
2013-10-17,77
2013-10-18,81
2013-10-19,100
2013-10-20,85
2013-10-21,74
2013-10-22,59
2013-10-23,64
2013-10-24,76
2013-10-25,75
2013-10-26,91
2013-10-27,81
2013-10-28,76
2013-10-29,68
2013-10-30,69
2013-10-31,75


Top regions for hots
Region,hots
Indonesia,100
India,42
United States,16


Top cities for hots
Town/City,hots
Surabaya (Indonesia),100
Jakarta (Indonesia),77
Pune (India),47
Buenos Aires (Argentina),38
Bangalore (India),35
New Delhi (India),33



Top searches for hots
red hots,100
starcraft 2,55
videos hots,55
hots girls,45
foto hots,45
cerita hots,25






