Web Search interest: hots
Worldwide May-Jun 2013

Interest over time
Day,hots
2013-05-01,88
2013-05-02,91
2013-05-03,87
2013-05-04,99
2013-05-05,97
2013-05-06,77
2013-05-07,83
2013-05-08,83
2013-05-09,78
2013-05-10,90
2013-05-11,90
2013-05-12,96
2013-05-13,80
2013-05-14,69
2013-05-15,75
2013-05-16,76
2013-05-17,81
2013-05-18,100
2013-05-19,93
2013-05-20,73
2013-05-21,67
2013-05-22,75
2013-05-23,77
2013-05-24,73
2013-05-25,79
2013-05-26,83
2013-05-27,72
2013-05-28,73
2013-05-29,78
2013-05-30,81
2013-05-31,69
2013-06-01,90
2013-06-02,90
2013-06-03,66
2013-06-04,66
2013-06-05,78
2013-06-06,73
2013-06-07,76
2013-06-08,89
2013-06-09,80
2013-06-10,73
2013-06-11,72
2013-06-12,90
2013-06-13,91
2013-06-14,77
2013-06-15,90
2013-06-16,88
2013-06-17,70
2013-06-18,78
2013-06-19,81
2013-06-20,71
2013-06-21,81
2013-06-22,80
2013-06-23,77
2013-06-24,66
2013-06-25,70
2013-06-26,70
2013-06-27,69
2013-06-28,70
2013-06-29,86
2013-06-30,75


Top regions for hots
Region,hots
Indonesia,100
India,40
United States,20


Top cities for hots
Town/City,hots
Surabaya (Indonesia),100
Buenos Aires (Argentina),41
New Delhi (India),30



Top searches for hots
sc2,100
hots sc2,95
starcraft hots,95
starcraft 2,70
starcraft 2 hots,70
red hots,50
videos hots,35
foto hots,30
hots builds,25
connect the hots,20
cerita hots,15



Rising searches for hots
connect the hots,Breakout
foto hots,+100%
red hots,+50%



