Web Search interest: hots
Worldwide Mar-Apr 2013

Interest over time
Day,hots
2013-03-01,24
2013-03-02,21
2013-03-03,23
2013-03-04,20
2013-03-05,21
2013-03-06,20
2013-03-07,21
2013-03-08,26
2013-03-09,29
2013-03-10,32
2013-03-11,65
2013-03-12,100
2013-03-13,81
2013-03-14,67
2013-03-15,56
2013-03-16,66
2013-03-17,65
2013-03-18,48
2013-03-19,43
2013-03-20,41
2013-03-21,40
2013-03-22,42
2013-03-23,44
2013-03-24,46
2013-03-25,34
2013-03-26,33
2013-03-27,29
2013-03-28,34
2013-03-29,36
2013-03-30,36
2013-03-31,35
2013-04-01,32
2013-04-02,27
2013-04-03,27
2013-04-04,27
2013-04-05,25
2013-04-06,31
2013-04-07,28
2013-04-08,25
2013-04-09,23
2013-04-10,23
2013-04-11,21
2013-04-12,25
2013-04-13,28
2013-04-14,28
2013-04-15,22
2013-04-16,22
2013-04-17,21
2013-04-18,20
2013-04-19,23
2013-04-20,26
2013-04-21,25
2013-04-22,20
2013-04-23,20
2013-04-24,22
2013-04-25,21
2013-04-26,23
2013-04-27,24
2013-04-28,28
2013-04-29,20
2013-04-30,19


Top regions for hots
Region,hots
Indonesia,100
Canada,66
Germany,47
India,45
France,43
United States,37


Top cities for hots
Town/City,hots
Buenos Aires (Argentina),100
Toronto (Canada),95
Bangalore (India),75
Paris (France),66
New York (United States),43
London (United Kingdom),23



Top searches for hots
starcraft hots,100
starcraft,95
sc2 hots,80
sc2,80
starcraft 2,75
starcraft 2 hots,70
the hots,70
hots build,25
red hots,15
hots builds,15
hots download,15
hots units,15
hots campaign,10
hots release,10
youtube hots,10
hots build order,10
hots game,10
foto hots,10
hots protoss build,5
sc hots,5
hots release date,5
hots launch,5
hots build orders,5
hots wiki,5
hots new units,5
hots beta,5
hots achievements,5
bo hots,5
hots patch,5
hots replays,5
hots review,5



Rising searches for hots
hots build order,Breakout
hots campaign,Breakout
hots protoss build,Breakout
hots build,+350%
hots builds,+300%
starcraft 2,+140%
starcraft 2 hots,+140%
starcraft hots,+130%
starcraft,+120%
sc2,+90%



