Web Search interest: hots
Worldwide Sep-Oct 2012

Interest over time
Day,hots
2012-09-01,50
2012-09-02,45
2012-09-03,40
2012-09-04,54
2012-09-05,100
2012-09-06,81
2012-09-07,85
2012-09-08,87
2012-09-09,83
2012-09-10,63
2012-09-11,52
2012-09-12,60
2012-09-13,53
2012-09-14,64
2012-09-15,78
2012-09-16,63
2012-09-17,50
2012-09-18,43
2012-09-19,54
2012-09-20,46
2012-09-21,53
2012-09-22,65
2012-09-23,52
2012-09-24,41
2012-09-25,46
2012-09-26,39
2012-09-27,36
2012-09-28,48
2012-09-29,62
2012-09-30,53
2012-10-01,46
2012-10-02,39
2012-10-03,42
2012-10-04,43
2012-10-05,50
2012-10-06,50
2012-10-07,50
2012-10-08,42
2012-10-09,35
2012-10-10,45
2012-10-11,49
2012-10-12,51
2012-10-13,52
2012-10-14,48
2012-10-15,42
2012-10-16,36
2012-10-17,36
2012-10-18,45
2012-10-19,44
2012-10-20,57
2012-10-21,43
2012-10-22,40
2012-10-23,42
2012-10-24,49
2012-10-25,45
2012-10-26,54
2012-10-27,52
2012-10-28,52
2012-10-29,43
2012-10-30,42
2012-10-31,41


Top regions for hots
Region,hots
India,100
United States,39





Top searches for hots
hots beta,100
red hots,55
sc2 hots,55
starcraft hots,50
fotos hots,40
starcraft 2,35
starcraft 2 hots,35
videos hots,30
fotos hots de,30
hots patch,25
video hots,25
hots beta key,20
hots release date,20
hots units,20



Rising searches for hots
hots beta key,Breakout
hots patch,Breakout
hots units,Breakout
hots beta,+800%
starcraft 2,+170%
starcraft hots,+160%
starcraft 2 hots,+140%
sc2 hots,+120%



