Web Search interest: hots
Worldwide Mar-Apr 2014

Interest over time
Day,hots
2014-03-01,85
2014-03-02,87
2014-03-03,68
2014-03-04,79
2014-03-05,77
2014-03-06,72
2014-03-07,80
2014-03-08,93
2014-03-09,93
2014-03-10,78
2014-03-11,72
2014-03-12,68
2014-03-13,74
2014-03-14,89
2014-03-15,100
2014-03-16,98
2014-03-17,77
2014-03-18,78
2014-03-19,85
2014-03-20,73
2014-03-21,79
2014-03-22,93
2014-03-23,81
2014-03-24,77
2014-03-25,73
2014-03-26,83
2014-03-27,77
2014-03-28,79
2014-03-29,89
2014-03-30,80
2014-03-31,69
2014-04-01,66
2014-04-02,69
2014-04-03,72
2014-04-04,83
2014-04-05,88
2014-04-06,86
2014-04-07,72
2014-04-08,80
2014-04-09,72
2014-04-10,79
2014-04-11,71
2014-04-12,77
2014-04-13,82
2014-04-14,64
2014-04-15,68
2014-04-16,63
2014-04-17,80
2014-04-18,91
2014-04-19,92
2014-04-20,94
2014-04-21,79
2014-04-22,73
2014-04-23,72
2014-04-24,73
2014-04-25,77
2014-04-26,93
2014-04-27,86
2014-04-28,59
2014-04-29,74
2014-04-30,76


Top regions for hots
Region,hots
Indonesia,100
India,50
United States,16


Top cities for hots
City,hots
Surabaya (Indonesia),100
Jakarta (Indonesia),82
Pune (India),43
Mumbai (India),41
Buenos Aires (Argentina),37
New Delhi (India),34



Top searches for hots
red hots,100
video hots,80
fotos hots,75
videos hots,70
foto hots,65
hots girls,60
hots heroes,50
starcraft 2 hots,45
cerita hots,35



Rising searches for hots
hots heroes,+180%



