Web Search interest: hots
Worldwide Jul-Aug 2013

Interest over time
Day,hots
2013-07-01,72
2013-07-02,83
2013-07-03,75
2013-07-04,84
2013-07-05,76
2013-07-06,90
2013-07-07,92
2013-07-08,69
2013-07-09,72
2013-07-10,77
2013-07-11,67
2013-07-12,77
2013-07-13,85
2013-07-14,89
2013-07-15,64
2013-07-16,72
2013-07-17,65
2013-07-18,69
2013-07-19,88
2013-07-20,91
2013-07-21,88
2013-07-22,69
2013-07-23,77
2013-07-24,72
2013-07-25,81
2013-07-26,72
2013-07-27,81
2013-07-28,89
2013-07-29,81
2013-07-30,76
2013-07-31,74
2013-08-01,76
2013-08-02,64
2013-08-03,76
2013-08-04,81
2013-08-05,81
2013-08-06,71
2013-08-07,68
2013-08-08,79
2013-08-09,83
2013-08-10,99
2013-08-11,88
2013-08-12,78
2013-08-13,78
2013-08-14,83
2013-08-15,80
2013-08-16,82
2013-08-17,82
2013-08-18,91
2013-08-19,70
2013-08-20,68
2013-08-21,70
2013-08-22,61
2013-08-23,65
2013-08-24,90
2013-08-25,100
2013-08-26,75
2013-08-27,62
2013-08-28,69
2013-08-29,70
2013-08-30,83
2013-08-31,91


Top regions for hots
Region,hots
Indonesia,100
India,42
United States,17


Top cities for hots
Town/City,hots
Surabaya (Indonesia),100
Jakarta (Indonesia),80
Buenos Aires (Argentina),42
New Delhi (India),32



Top searches for hots
the hots,100
sc2 hots,95
red hots,85
starcraft 2 hots,80
starcraft 2,75
videos hots,50
hots girls,50
hots video,50
foto hots,40






