Web Search interest: heroes of the storm
Worldwide Jan-Feb 2015

Interest over time
Day,heroes of the storm
2015-01-01,24
2015-01-02,29
2015-01-03,30
2015-01-04,31
2015-01-05,26
2015-01-06,30
2015-01-07,25
2015-01-08,23
2015-01-09,26
2015-01-10,27
2015-01-11,31
2015-01-12,40
2015-01-13,72
2015-01-14,72
2015-01-15,51
2015-01-16,42
2015-01-17,45
2015-01-18,44
2015-01-19,36
2015-01-20,54
2015-01-21,100
2015-01-22,78
2015-01-23,70
2015-01-24,86
2015-01-25,82
2015-01-26,63
2015-01-27,66
2015-01-28,56
2015-01-29,54
2015-01-30,62
2015-01-31,70
2015-02-01,66
2015-02-02,54
2015-02-03,51
2015-02-04,46
2015-02-05,46
2015-02-06,51
2015-02-07,64
2015-02-08,55
2015-02-09,49
2015-02-10,59
2015-02-11,62
2015-02-12,50
2015-02-13,48
2015-02-14,68
2015-02-15,62
2015-02-16,54
2015-02-17,50
2015-02-18,46
2015-02-19,49
2015-02-20,54
2015-02-21,64
2015-02-22,61
2015-02-23,52
2015-02-24,51
2015-02-25,44
2015-02-26,40
2015-02-27,42
2015-02-28,51


Top regions for heroes of the storm
Region,heroes of the storm
Sweden,100
Chile,97
Germany,67
France,66
Canada,63
Poland,56
Russia,55
Spain,52
Netherlands,39
Australia,31
United States,30
United Kingdom,24
Brazil,22
Italy,21


Top cities for heroes of the storm
City,heroes of the storm
Budapest (Hungary),100
Berlin (Germany),89
Santiago (Chile),88
Saint Petersburg (Russia),79
Vienna (Austria),77
Stockholm (Sweden),76
Moscow (Russia),75
Paris (France),65
Toronto (Canada),62
Bucharest (Romania),60
Warsaw (Poland),52
Melbourne (Australia),45
Madrid (Spain),45
Sydney (Australia),38
New York (United States),25



Top searches for heroes of the storm
hots,100
blizzard,70
heros,35
battlenet,30
heroes online,30
overwatch,30
thrall,25
illidan,25
the lost vikings,25
valla,25
starcraft,20
lost vikings,20
moba,20
battle net,20
battle.net,15
tyrande,15
zeratul,15
starcraft 2,15
abathur,10
valla build,10
heroes nexus,10
rehgar,10
azmodan,10
tassadar,10
raynor build,10
murky,10



Rising searches for heroes of the storm
raynor build,Breakout
the lost vikings,+150%
lost vikings,+140%
thrall,+120%
illidan,+50%
zeratul,+40%



