Web Search interest: heroes of the storm
Worldwide Mar-Apr 2014

Interest over time
Day,heroes of the storm
2014-03-01,12
2014-03-02,11
2014-03-03,9
2014-03-04,12
2014-03-05,11
2014-03-06,10
2014-03-07,11
2014-03-08,14
2014-03-09,12
2014-03-10,9
2014-03-11,9
2014-03-12,11
2014-03-13,20
2014-03-14,100
2014-03-15,67
2014-03-16,62
2014-03-17,45
2014-03-18,35
2014-03-19,40
2014-03-20,28
2014-03-21,28
2014-03-22,31
2014-03-23,31
2014-03-24,24
2014-03-25,18
2014-03-26,22
2014-03-27,18
2014-03-28,18
2014-03-29,20
2014-03-30,19
2014-03-31,14
2014-04-01,14
2014-04-02,14
2014-04-03,11
2014-04-04,13
2014-04-05,12
2014-04-06,16
2014-04-07,10
2014-04-08,11
2014-04-09,11
2014-04-10,13
2014-04-11,16
2014-04-12,22
2014-04-13,17
2014-04-14,14
2014-04-15,16
2014-04-16,16
2014-04-17,17
2014-04-18,27
2014-04-19,19
2014-04-20,19
2014-04-21,15
2014-04-22,15
2014-04-23,14
2014-04-24,12
2014-04-25,13
2014-04-26,16
2014-04-27,15
2014-04-28,11
2014-04-29,11
2014-04-30,13


Top regions for heroes of the storm
Region,heroes of the storm
Canada,100
Germany,72
United States,69
France,65
United Kingdom,40
Brazil,39


Top cities for heroes of the storm
Town/City,heroes of the storm
Santiago (Chile),100
New York (United States),38



Top searches for heroes of the storm
blizzard,100
moba,35
hots,30
warlords of draenor,10



Rising searches for heroes of the storm
hots,+90%



