Web Search interest: heroes of the storm
Worldwide Nov-Dec 2015

Interest over time
Day,heroes of the storm
2015-11-01,47
2015-11-02,37
2015-11-03,37
2015-11-04,37
2015-11-05,34
2015-11-06,54
2015-11-07,100
2015-11-08,75
2015-11-09,55
2015-11-10,47
2015-11-11,44
2015-11-12,40
2015-11-13,38
2015-11-14,40
2015-11-15,45
2015-11-16,41
2015-11-17,46
2015-11-18,50
2015-11-19,41
2015-11-20,40
2015-11-21,45
2015-11-22,49
2015-11-23,39
2015-11-24,44
2015-11-25,44
2015-11-26,39
2015-11-27,39
2015-11-28,49
2015-11-29,43
2015-11-30,35
2015-12-01,42
2015-12-02,35
2015-12-03,30
2015-12-04,34
2015-12-05,40
2015-12-06,38
2015-12-07,40
2015-12-08,42
2015-12-09,43
2015-12-10,36
2015-12-11,35
2015-12-12,41
2015-12-13,38
2015-12-14,37
2015-12-15,44
2015-12-16,44
2015-12-17,38
2015-12-18,40
2015-12-19,39
2015-12-20,41
2015-12-21,40
2015-12-22,41
2015-12-23,45
2015-12-24, 
2015-12-25, 


Top regions for heroes of the storm
Region,heroes of the storm
Canada,100
Germany,78
Spain,61
Russia,61
United States,60
France,59
United Kingdom,38
Brazil,36


Top cities for heroes of the storm
City,heroes of the storm
Singapore (Singapore),100
Toronto (Canada),78
Santiago (Chile),74
Moscow (Russia),72
Paris (France),42
London (United Kingdom),24



Top searches for heroes of the storm
hots,100
blizzcon,35
lunara,30
artanis,30
sylvanas,20
greymane,20
battlenet,15



Rising searches for heroes of the storm
greymane,Breakout
lunara,Breakout
blizzcon,+100%



