Web Search interest: heroes of the storm
Worldwide May-Jun 2014

Interest over time
Day,heroes of the storm
2014-05-01,84
2014-05-02,82
2014-05-03,78
2014-05-04,74
2014-05-05,58
2014-05-06,83
2014-05-07,59
2014-05-08,86
2014-05-09,87
2014-05-10,99
2014-05-11,89
2014-05-12,64
2014-05-13,69
2014-05-14,64
2014-05-15,63
2014-05-16,72
2014-05-17,73
2014-05-18,76
2014-05-19,62
2014-05-20,60
2014-05-21,65
2014-05-22,76
2014-05-23,94
2014-05-24,100
2014-05-25,85
2014-05-26,83
2014-05-27,71
2014-05-28,74
2014-05-29,69
2014-05-30,88
2014-05-31,89
2014-06-01,81
2014-06-02,61
2014-06-03,69
2014-06-04,87
2014-06-05,70
2014-06-06,86
2014-06-07,84
2014-06-08,82
2014-06-09,74
2014-06-10,77
2014-06-11,70
2014-06-12,65
2014-06-13,69
2014-06-14,78
2014-06-15,84
2014-06-16,55
2014-06-17,61
2014-06-18,54
2014-06-19,67
2014-06-20,91
2014-06-21,76
2014-06-22,80
2014-06-23,69
2014-06-24,73
2014-06-25,86
2014-06-26,94
2014-06-27,76
2014-06-28,85
2014-06-29,88
2014-06-30,70


Top regions for heroes of the storm
Region,heroes of the storm
Germany,100
United States,99





Top searches for heroes of the storm
blizzard,100
moba,55
hots,35
heroes of newerth,30






